d1,k1,d2,k2,Kd,n,k3,d3,k4
0.016687107,0.40973211,0.801985778,0.0419276,0.300261742,2.371007128,0.038681205,0.003120087,5.079644666
0.01547707,0.805069425,0.013412199,0.26556245,235.7762196,1.203720131,0.034211071,0.00615413,0.002030019
0.017057605,0.72304723,0.032173625,1.132835021,180.925591,2.734922592,0.097536388,0.000358234,0.002956878
0.015181611,9.605058184,0.000569946,0.103713033,533.9492736,0.58743454,0.00100964,0.000960506,0.000190181
0.017207107,3.868120546,0.325461783,0.010213314,12.90723845,2.752037254,0.000795854,0.122791037,0.038829935
0.019374222,0.264545269,0.000889542,0.002748949,0.798913942,3.793422333,0.000338195,0.00024879,0.002497468
0.017777373,1.172645298,0.194610678,5.060188166,8.495064226,2.362804066,0.000519796,0.034211071,0.000251671
0.017862815,4.851022995,0.417670049,0.006518785,87.93599189,1.708227353,0.000203002,0.001041118,0.078674381
0.015093065,0.979114164,5.721369547,0.084301118,1.522299133,3.423566415,0.000140983,0.0017613,0.000742734
0.016425153,2.412681533,0.011771541,0.000237593,1.029200527,1.215457965,0.011070485,0.002605154,0.058771485
0.015548474,1.528152396,0.000133097,0.156976027,4.407239651,2.235348855,4.424185554,0.161870112,0.536002317
0.015872368,7.571233961,4.257617739,0.002696704,213.3863656,0.783225695,0.000150487,0.145378439,9.605058184
0.018118137,4.475415208,0.08301693,0.089984284,30.72557365,1.632971939,1.186223891,0.018443075,0.199143743
0.01878693,1.295686698,9.531618832,0.000682601,13.41219935,2.590983809,6.69627581,0.004926063,0.002260303
0.018375347,0.106128819,2.421958329,0.014098297,0.203782397,1.211252799,3.474028151,0.000762957,0.002348731
0.0193371,2.268993926,0.000123737,0.000142615,0.533949274,2.794325337,1.612501027,0.000805069,0.000133097
0.018497334,0.186566358,0.000216687,0.000265562,4.650503762,0.577743088,0.000135155,0.00037368,2.575332647
0.018191256,1.953589594,0.061305579,0.000527837,8.793599189,1.728475315,0.001499109,0.098287887,0.002175204
0.01654847,0.240344027,1.44266889,0.004290422,0.156374764,1.116126075,0.587714853,0.219196358,0.001594043
