d1,k1,,k2,Kd,n
0.01611005,2.00678109,,0.074273405,540.1321148,0.513166892
0.017878238,0.044582731,,7.777380258,2.575332647,1.242718901
0.018499107,3.447466066,,5.17805509,0.397344007,2.130954811
0.015212214,3.988718003,,0.007202778,181.6212526,0.88423393
0.019653032,0.1650061,,0.009942601,11.95363526,3.130731968
0.018614775,1.041118108,,0.016691678,63.94893753,3.638893933
0.01740292,0.220885225,,0.720277751,10.81849047,0.601860066
0.018481376,0.039129113,,0.010174194,1.662774415,3.814515963
0.017922868,1.734469497,,0.00556972,0.360994014,1.587217679
0.015286793,4.08162718,,2.069347055,3.609940136,2.330274645
0.018813973,0.08238219,,0.018023259,0.777738026,1.77706937
0.018333105,2.867477376,,0.085934324,12.46904905,1.139578257
0.018623702,0.12469049,,3.343233167,33.04963494,2.845140701
0.019324124,0.034080032,,0.023487313,0.786743808,2.268124761
0.019205891,0.964198978,,0.06826006,5.442937323,0.507155476
0.018588018,3.500794892,,0.066962758,0.202224297,1.87579218
0.016656731,5.401321148,,0.084301118,34.47466066,2.420827028
0.016537365,0.942251129,,0.001426155,1186.223891,0.853521855
0.016102328,0.391291127,,0.064441652,1.005773063,1.149096533
0.015552948,8.175230379,,0.002605154,4.192759967,2.254019505
0.018593366,9.172759354,,0.027279307,0.118168031,2.639930593
0.018675565,0.111986757,,0.000110281,12.13854595,1.695252298
0.019717213,0.279147237,,5.238014142,1.045121222,1.973149132
0.015395657,1.145952633,,0.000278078,0.191646106,3.743791266
0.015483008,0.212569035,,0.035549487,0.400405468,1.634104221
0.018652298,1.481949257,,1.061288195,23.21845584,1.176498923
0.018364777,0.556971962,,0.214206839,0.225164542,1.385589594
0.01602838,0.701186157,,0.002440619,320.5039109,0.806921368
0.017396246,9.980830188,,1.470618415,0.23942344,1.890149044
0.017649976,0.542208931,,0.073141972,66.70627149,1.045722457
0.019810078,5.442937323,,0.550596357,879.3599189,0.656333056
0.015545492,3.943059525,,0.007230472,872.6364175,0.568605516
0.019150718,3.651741273,,2.956877505,383.8545268,2.516641994
0.017945225,0.326713189,,0.215857263,75.13345034,3.759393678
0.016701515,9.495109992,,0.000280221,2142.068394,1.174055004
0.017241793,0.314412642,,1.487647374,3.708230031,1.103816227
0.015506782,0.158793724,,0.112849594,35.14255501,0.965601619
0.017731404,1.946106784,,1.137190789,233.0773115,0.637943252
0.018079954,0.533949274,,0.163744479,0.405041945,2.318995467
0.016699914,0.218356773,,6.27335696,57.21369547,1.00521214
0.019775914,3.958220648,,0.527837207,34.08003248,0.920506619
0.017438001,0.041447658,,0.00049831,0.103315782,3.806592141
0.019585303,5.422089308,,0.025852348,0.101741937,3.297791069
0.015370579,0.303738609,,0.000814392,2.58523484,1.132491326
0.016567523,6.154130009,,0.260515359,2.243020967,1.251362694
0.016128599,0.145937421,,5.118782384,153.9926526,0.731789185
0.015145259,5.832212419,,0.442418555,5899.746256,0.916051111
0.01693699,3.002617421,,0.998083019,44.92623247,1.314487115
0.019198525,0.304906489,,0.003751169,9.82878873,0.842354841
0.017745012,6.419482215,,3.072557365,3.205039109,0.513522715
0.015791903,1.181680313,,4.340102636,365.1741273,0.819320604
0.017612779,0.052380141,,0.003637754,0.331767113,0.895956131
0.018975229,0.067478694,,0.157579602,4.424185554,0.799682931
0.015113341,0.672202309,,0.007629569,1128.495938,0.814789899
0.01856486,2.093308965,,0.000172121,786.7438077,0.954951918
0.016523099,4.964017837,,0.745589872,278.0780227,1.610490332
0.015716367,3.205039109,,2.812980144,13.5675053,1.157891442
0.018997077,6.69627581,,0.005612633,801.9857778,0.837116315
0.019668114,0.064194822,,0.000717519,22.43020967,1.981372316
0.019766434,0.259517511,,0.565587757,67.47869371,2.514898195
0.015450379,6.79986045,,0.005060188,29.23030408,2.988662526
0.019117691,0.475882791,,0.001688496,89.29627309,1.279428921
0.015110443,4.544645372,,0.006177793,42.08881192,0.564286602
0.018057429,5.118782384,,0.000239423,13.72460961,2.132432389
0.016685507,1.923829884,,0.003180534,131.0690042,1.081100018
0.016125506,0.765890472,,0.789768849,17.88545529,1.912553361
0.017498304,2.191963577,,0.202224297,1.499109421,2.307770884
0.019922476,0.033304276,,2.856494113,0.674786937,2.135390618
0.01636384,0.953161883,,3.394949616,0.6037169,3.428315777
0.019859531,0.731419722,,0.000228648,3.22973334,1.728475315
0.016867295,0.40973211,,0.005442937,48.88399226,1.259193501
