,d1,k1,d2,k2,Kd,n,k3
1,0.017602898,0.442303121,0.284048386,0.044751889,34.23733876,1.380475948,0.002791809
2,0.018244003,0.268155477,0.105796132,0.034238228,12.62311872,1.319916303,0.000209008
3,0.017648338,0.215718142,0.173534982,0.000391363,20.31577215,1.021452322,0.000391423
4,0.017384468,0.161889993,2.561607212,0.011358551,14.53784386,0.670503639,0.000682139
5,0.017334633,0.424020322,4.351400161,0.000315544,63.16841793,0.657735856,0.000238738
6,0.018426182,0.22193204,0.12593951,0.000483616,32.9483244,1.490554335,0.001454642
7,0.018513953,0.106427372,0.107513113,0.001052472,38.41492592,0.529928981,0.001878205
8,0.017638258,0.381258912,0.134692849,0.002460898,36.2382041,1.052783173,0.000838626
9,0.018406421,0.138320538,1.955124457,0.003427441,15.69760271,1.100884775,0.000309704
10,0.017585489,0.080764406,1.240464371,0.001533451,27.46839812,0.709663395,0.000556301
11,0.017487005,0.139386273,0.106241378,0.011039098,113.1965872,1.190847188,0.003210618
12,0.017927953,0.1703021,2.176126217,0.028273703,165.2595884,0.827503539,0.001395926
13,0.018297473,0.174068427,0.239620529,0.00275836,12.86767253,0.90999886,0.000251126
14,0.018572613,0.143456425,4.706253538,0.043413291,111.9008366,1.122871472,0.001126599
15,0.017263035,0.058195134,2.089550942,0.000330098,43.90358656,0.910665595,0.000516321
16,0.0180347,0.29823138,0.622964446,0.029279904,78.25282051,0.942559399,0.0002757
17,0.017973481,0.095767909,2.383428367,0.000786899,25.30268837,1.000168739,0.002071694
18,0.017688226,0.284044687,0.075818123,0.000228655,337.9351239,0.569154996,0.000869808
19,0.01786361,0.477221503,0.773924413,0.000892631,38.50348147,1.450438439,0.00260336
20,0.017980746,0.118682496,2.296629347,0.026266981,72.69423992,1.28910498,0.000278736
21,0.018216566,0.396174639,4.324074426,0.002893564,147.4008541,0.648052784,0.00086303
22,0.01839565,0.151665455,2.216091489,0.018515721,41.19394012,0.978970064,0.000884447
23,0.018673048,0.207755886,0.090506794,0.000571266,572.1369547,0.55556373,0.003329998
24,0.018332439,0.077425973,0.089938433,0.012136633,53.06807489,1.378960173,0.001615412
25,0.017244761,0.115803052,0.674710591,0.020394102,33.76758486,1.348004112,0.00092502
26,0.01840796,0.096951233,0.307858095,0.001038999,136.4059559,0.789320979,0.002191735
27,0.018354935,0.155198197,1.098993,0.000439073,291.1834361,0.550601505,0.001847119
28,0.017752432,0.436234495,3.748696349,0.011558898,128.1838565,1.490827283,0.000255752
29,0.018201087,0.294478327,0.091718489,0.017360597,21.42068394,1.146766169,0.003559889
30,0.01745511,0.341234818,0.528847944,0.000962595,11.12158452,0.941179733,0.001084513
31,0.018652761,0.106019724,3.458772619,0.000270096,47.91814529,1.097061519,0.000249559
32,0.01744125,0.126683486,1.449001777,0.017456718,43.76900427,1.475348706,0.00107214
33,0.018379507,0.306704399,2.692126465,0.009259748,287.4087594,0.878884911,0.000300946
34,0.017256541,0.1715484,0.139197625,0.007282639,18.41478559,0.52289284,0.003141055
35,0.018131468,0.205930182,0.663006685,0.000986812,55.52646171,0.735998494,0.001063785
36,0.017562713,0.257169822,0.482512771,0.001709344,44.14010209,0.500412149,0.000393881
37,0.018617703,0.128101241,0.166165163,0.000705277,27.38419634,1.055098917,0.00047697
38,0.018685022,0.273770514,3.825567085,0.002006179,19.43121692,0.535979185,0.000242882
39,0.017557819,0.081324238,0.160562722,0.006815747,14.29442422,1.257860786,0.000326625
40,0.017265681,0.096320783,1.423866586,0.001340665,15.77005955,0.649954124,0.000324418
41,0.018190184,0.175544275,0.667663686,0.000626331,110.9600559,0.609161644,0.000344292
42,0.017856392,0.117775061,0.313951203,0.001687463,244.4368434,0.501788436,0.00287605
43,0.018330907,0.134705916,0.171002852,0.013233233,16.67887165,1.382752735,0.003809622
44,0.01725053,0.4075867,1.143726172,0.02600243,537.6504331,0.83221394,0.000212636
45,0.017892511,0.089033478,0.081771767,0.046859129,28.00055675,1.399308073,0.000446867
46,0.017691431,0.432069229,0.901503112,0.004402269,257.3356764,1.215520531,0.000348992
47,0.018380532,0.459959935,0.214683373,0.028118021,116.1002977,0.815171904,0.001800513
48,0.018509052,0.312526372,0.649684265,0.0051715,26.5766355,0.886968138,0.000567436
49,0.0183813,0.347045703,4.87387694,0.000358602,37.77171174,0.935509926,0.000896054
50,0.017302293,0.447081471,0.586570975,0.000816404,950.9696717,0.551307672,0.0011396
51,0.018000803,0.07023496,0.461697764,0.038095305,73.31058189,0.546583587,0.00034772
52,0.017493586,0.322641334,0.724135754,0.000369999,23.65011916,1.055292125,0.001008147
53,0.017439306,0.234271795,0.23978831,0.027911778,563.8540013,0.600083786,0.001426097
54,0.017572016,0.478138085,1.33787227,0.017585708,138.6223744,1.313166597,0.000903563
55,0.018391806,0.209356607,0.30357841,0.005086542,78.07284401,0.629227401,0.000337888
56,0.01755366,0.492477815,0.112203011,0.004349918,25.10922644,1.370151264,0.000209772
57,0.018457536,0.299263215,1.039144977,0.004911744,48.47301126,0.686152557,0.001283498
58,0.01756051,0.381698105,0.270466444,0.044219705,78.9162912,1.235491032,0.000756741
59,0.018590739,0.090480155,2.478707337,0.004037466,32.74663406,1.278761042,0.00017967
60,0.017368728,0.060448659,0.388123146,0.004022631,38.29716859,1.356422247,0.001095884
61,0.018495128,0.288660042,0.07656474,0.011008664,219.8703495,1.492466024,0.000574883
62,0.018271992,0.056133226,0.075289286,0.003137639,32.89778566,0.599424889,0.00059223
63,0.017254376,0.127855674,2.151891275,0.048082229,29.11834361,0.982561665,0.000894653
64,0.018368753,0.200856861,0.216797464,0.005360473,201.4497193,1.022200717,0.00249307
65,0.017554394,0.056957817,0.78373686,0.013051821,10.59660307,0.744401396,0.003541371
66,0.017529703,0.202171533,0.914212018,0.000577078,15.49411113,0.892670589,0.002379993
67,0.018628343,0.05850864,0.732291086,0.001048605,16.50061001,0.723174303,0.000458195
68,0.018180047,0.406025526,2.541959955,0.02444764,15.74587019,0.929533813,0.003001717
69,0.018280906,0.18459503,1.351992941,0.047248837,24.95552247,1.354188815,0.000185478
70,0.018044253,0.227625024,1.698530953,0.014442199,36.54545163,0.608715652,0.000397181
71,0.017441007,0.164079127,0.553077316,0.001765296,161.6218226,0.896109643,0.002275602
72,0.018101677,0.208154915,1.004812139,0.001944381,766.4785402,0.610054608,0.0030618
73,0.017461922,0.17676109,0.217709864,0.030999049,88.34188599,0.59712444,0.002745602
74,0.017249328,0.445027318,2.454536333,0.015038975,20.80494953,1.380728739,0.000407037
75,0.017582059,0.142578269,1.615052189,0.006740896,14.10912236,1.07223741,0.00023235
76,0.01793345,0.448628305,0.199750547,0.029333843,39.3399074,0.76625156,0.000333511
77,0.018639769,0.197949012,0.669067154,0.001374393,133.0965097,0.530511487,0.001640886
78,0.017981247,0.18709119,2.24418891,0.009336757,27.42626492,0.605935593,0.000399466
79,0.018379251,0.354856968,0.682787039,0.000380006,70.49635568,0.97200416,0.001693046
80,0.017679354,0.345318626,1.171271408,0.005759388,27.91472369,0.900550758,0.00051875
81,0.01727242,0.099400066,4.663623883,0.003169561,10.00383838,1.387571625,0.002673535
82,0.017630394,0.104605215,0.44363994,0.00053612,10.30781622,1.470494202,0.000270008
83,0.018113285,0.425650686,0.415971942,0.000413579,61.967884,1.123077091,0.002752771
84,0.018019878,0.361592992,0.095585495,0.00075359,988.9325387,0.507796218,0.000284612
85,0.017680093,0.17887652,0.439929232,0.004041183,558.6845567,0.612517013,0.00063709
86,0.01821682,0.113515022,4.246093526,0.000725019,15.1414221,0.999619491,0.000387564
87,0.018390268,0.347578847,0.1726868,0.044587462,874.6480522,0.811300376,0.001488409
88,0.017430559,0.363820085,1.190280153,0.007590551,100.50014,0.736807516,0.000278155
89,0.017736358,0.327883834,0.313073431,0.001247806,22.89988668,1.2413868,0.000398842
90,0.018459594,0.292002568,1.514328026,0.004459352,14.89932751,1.083883607,0.00056067
91,0.018403086,0.059665049,0.080240901,0.000541077,31.70784063,0.741273055,0.002040596
92,0.017642683,0.216464494,0.311325242,0.002193494,13.25867118,0.584682403,0.000690731
93,0.018334994,0.165026367,1.64126312,0.016054391,256.3500068,0.751522919,0.001184442
94,0.017504072,0.172406382,0.927100087,0.00168436,40.59756633,1.156042396,0.002367612
95,0.017776445,0.076598454,4.550761236,0.014010211,28.0651047,1.450969693,0.003750479
96,0.017370906,0.383018723,2.847175518,0.000488087,113.9812284,0.607490858,0.00135716
97,0.018145371,0.494561158,1.457138377,0.024134691,102.2900364,1.340865235,0.000309219
98,0.017669995,0.191522589,4.054399687,0.022277765,33.35543944,1.296442956,0.000342322
