d1,k1,d2,k2,Kd,n,k3,d3,k4
0.01638111,2.991116533,0.036940264,3.096230849,0.115035884,0.844108291,0.014933674,0.000774759,0.02022243
0.015302927,0.629747811,1.675585782,0.000164374,5.787619883,0.678067123,0.085934324,0.001367204,9.067759646
0.017888527,2.468880105,0.401945033,1.575796023,1968.641639,0.904065998,9.980830188,0.104913973,0.000101742
0.019557151,7.989139417,3.912911271,6.79986045,0.771791516,2.986591661,0.00140983,0.000427399,0.011503588
0.016114685,1.256512076,2.109437521,0.005809873,0.217520403,1.785712717,0.002366828,0.08397822,1.154781985
0.018238417,0.419275997,0.000312009,0.000363775,1.090184492,0.521413557,0.000288957,0.001631173,0.021094375
0.01605761,5.258154385,0.126619327,0.06826006,13.10690042,0.624381631,0.000395822,0.000223443,7.427340485
0.018340139,4.340102636,1.734469497,5.401321148,340.8003248,1.954094178,0.359611303,0.020067811,0.565587757
0.016437759,0.601404491,4.065993375,0.074558987,0.542208931,0.524312919,0.023487313,0.739889164,0.001781695
0.018352454,0.14261548,0.006225391,0.000259518,18.8003817,1.103816227,5.463865499,1.001920663,0.002014497
0.016332486,3.132083512,0.004004055,0.504080619,1.953589594,1.075121717,0.000285649,0.000425762,0.076589047
0.01789539,2.507071193,0.081439169,1.656405511,0.264545269,1.602695111,0.001470618,2.348731289,0.104111811
0.01725999,0.0654385,5.899746256,2.676085593,40.97321098,3.238891186,0.061777927,0.024500033,0.979114164
0.017525172,3.049064887,8.301692956,0.054013211,0.465050376,2.27599912,0.303738609,0.000112417,0.251671092
0.016846281,0.055271341,0.006696276,0.001271062,0.133608268,2.573086576,0.000483244,0.447541521,0.002412682
0.015129292,0.475882791,0.01367204,8.175230379,143.7143053,2.929186395,0.00104914,0.000336899,1.747833262
0.017376239,1.246904905,0.000500226,0.000130567,6.177792731,1.534214286,0.002109438,2.823796095,0.00018514
0.016327788,0.24312708,0.000306079,4.722442369,0.281298014,1.592728099,0.392795647,0.000780728,1.300668632
0.018345415,4.441196614,0.59680621,0.024406191,403.490518,1.924521782,0.195358959,0.000420888,0.000504081
0.018632634,0.088954243,0.001213855,0.000442419,8.895424269,0.83885886,0.477712567,3.765592613,0.001159222
0.016485115,3.514255501,3.80919612,0.013463769,0.229526764,2.870893873,0.002348731,0.899842843,1.094376268
0.018456582,0.565587757,0.000801986,0.006444165,1.181680313,0.950988632,0.000111987,0.003794606,0.206142086
0.018864557,0.906775965,0.002487902,0.174113856,762.9568912,0.545821073,0.004441197,7.398891635,0.01367204
0.015010792,1.377738094,0.008081649,0.000610708,36.51741273,0.884847047,0.938642037,0.13309651,0.01901808
0.015093065,2.366827827,0.811272335,0.00018514,0.474060023,0.501562016,7.314197223,0.005968062,0.627335696
0.019997123,0.049450042,8.759917176,0.000112417,28.34653633,3.556603136,0.693159745,0.801985778,0.039279565
0.019259375,0.233973497,0.100577306,4.632690995,97.53638756,3.399918114,0.000264545,0.00016125,0.031441264
0.017289808,9.278974901,0.02037824,0.013619673,226.8993926,1.125448468,0.002394234,0.001464986,0.134637695
0.015749558,0.066962758,9.458740991,0.103713033,45.97269885,0.577743088,0.682600602,0.063948938,0.4632691
