d1,k1,d2,k2,Kd,n,k3,d3,k4
0.017779078,6.69627581,3.694026444,0.069850041,610.7076122,2.095798477,7.370551753,0.07571234,0.013619673
0.017821752,3.217362533,0.37946058,0.00024879,1145.952633,1.052996032,0.318053369,0.442418555,0.007600345
0.017866241,0.131572967,4.257617739,0.004257618,1.504873519,2.160701832,0.030141625,0.003868121,0.017613
0.01893524,0.506018817,0.004004055,4.176700491,910.2625318,0.847626149,0.002440619,0.142069221,4.75882791
0.017671992,0.0654385,0.006345999,0.002595175,0.365174127,2.412451603,0.002022243,0.015697603,1.320788666
0.019335246,0.137246096,0.000355495,0.135675053,8.081649291,1.394260369,3.254617835,0.000506019,0.001025258
0.018219188,4.340102636,1.426154796,0.039279565,0.26556245,1.248763262,0.014991094,0.038829935,0.731419722
0.019202208,1.51646829,0.011459526,0.001246905,1242.128901,0.500173317,0.0131069,0.000179542,0.001754554
0.017431313,8.659643234,0.002109438,0.000550596,425.7617739,0.70588252,0.092434338,6.493816316,0.024126815
0.015261893,6.419482215,0.000424131,0.000533949,0.179542251,2.310972352,0.348738584,3.049064887,0.007717915
0.017179079,0.107357733,0.167558578,7.484566763,0.945874099,0.728247122,0.048696753,0.011155782,0.038829935
0.018170335,7.600345469,0.093146527,0.000153993,235.7762196,0.787580884,0.000583221,0.003072557,0.001388353
0.01938909,0.259517511,0.128085509,0.107357733,1090.184492,0.603949572,7.717915156,0.135155379,0.001464986
0.018673774,8.143916897,0.001124173,0.162492505,14.76272965,2.614436445,0.020773037,0.000927897,0.001650061
0.017599273,3.988718003,0.629747811,9.172759354,86.2647431,0.776199818,0.001734469,0.826989509,0.085605171
0.019137868,0.078373035,0.001600172,0.028895708,19.61101175,3.541842355,0.018092559,0.786743808,0.000233077
0.01997221,3.751169311,0.003381946,0.513846418,1.761299993,1.019244379,0.006444165,0.001025258,0.008397822
0.015171424,0.232184558,0.003823843,0.000795854,2.321845584,0.550761645,0.000285649,0.003242152,0.005922431
0.019918656,0.531904094,0.013619673,0.081752304,0.280220562,3.30924017,0.034474661,2.878502869,0.001073577
0.01796761,5.743368298,0.000167559,0.000203782,211.754834,3.979259542,0.000230409,0.007600345,0.000122321
