d1,k1,d2,k2,Kd,n,k3
0.019762644,0.695824955,0.00046505,1.999094542,0.333042762,0.892856358,0.035277679
0.015036724,5.339492736,0.19762111,0.659426911,913.7625049,1.012905793,0.106536886
0.018151178,0.859343243,0.004650504,0.005380633,110.7048548,2.315782884,0.234873129
0.016730369,0.06321692,0.000158794,0.000430692,14.37143053,0.729763045,0.0041767
0.017765444,3.80919612,0.000224302,0.000917276,101.7419366,0.958267271,5.527134079
0.017668603,0.175455371,0.318053369,0.002459424,267.6085593,0.81197094,0.342110707
0.017644899,6.34599901,0.043069186,0.081127234,739.8891635,1.782003289,0.020773037
0.015524636,0.425761774,0.281298014,0.002243021,1.218521884,0.946385582,0.440723965
0.01660092,0.148764737,0.000250707,1.246904905,13.20788666,0.736368593,0.002037824
0.015110443,0.039279565,1.013522358,0.007230472,0.411307536,3.346145084,0.000331767
0.016447219,0.982878873,0.000104112,0.00964199,18.44307504,1.152286925,1.351553786
0.016797887,0.044241856,0.005339493,0.4851023,0.134121994,0.550761645,0.034474661
0.015572349,1.865663579,0.06321692,0.000187284,3.356087949,0.655878278,0.000561263
0.019702093,0.777738026,0.000365174,0.102133136,0.906775965,0.51673625,0.001464986
0.016215444,6.249328199,0.001280855,0.022003917,4.08162718,2.269697451,0.00069316
0.019772121,0.836565596,0.001669168,0.801985778,32.7969406,0.558837214,0.029342695
0.016691909,0.044582731,2.11754834,0.001190785,1.916461063,0.956939751,0.002183568
0.016924002,0.762956891,0.134637695,0.000133097,1.186223891,2.585601607,0.001481949
0.015428171,0.355494866,0.14933674,0.049831046,0.14933674,1.93522324,9.102625318
0.016661524,0.938642037,0.333042762,0.010572232,0.24688801,0.80860106,0.027595186
0.01962102,0.034607216,0.073988916,0.012092052,0.444119661,3.556603136,0.009172759
0.018686313,1.021331359,0.00078373,0.308437139,344.7466066,0.789767552,0.373680125
0.01997221,3.01416253,1.694988151,0.000255564,0.71751888,0.545821073,0.000186566
0.018152919,0.589974626,0.003144126,9.82878873,50.02264671,1.701137787,0.010901845
0.018507979,7.258273574,2.459423584,0.004340103,5699.455056,1.105347503,0.113719079
0.015864759,0.076295689,0.043903587,0.45621196,0.111986757,2.87686994,3.62382041
0.018873604,0.0370823,8.143916897,0.031200867,1.029200527,2.86493022,0.001453784
0.019084721,0.419275997,0.073705518,0.072304723,89.98428427,3.139424245,1.029200527
0.017582404,3.460721624,0.052581544,0.437354232,242.1958329,2.555312969,0.000121385
0.01980438,0.163117291,0.000924343,0.012808551,33.81945983,1.673072542,0.002394234
0.017639824,0.077773803,0.004579661,0.001946107,35.14255501,0.744580635,0.000154585
0.016382681,5.442937323,0.000506019,0.826989509,0.388299353,1.68938717,0.615413001
0.017511733,0.156976027,0.000646894,0.000251671,0.144266889,3.725670275,0.003514256
0.019159903,5.360023165,0.000762957,9.350467678,0.757123396,3.353110437,1.213854595
0.016650343,2.979659697,0.05548386,5.548385993,11.81680313,1.533151218,0.120920518
0.018238417,0.13309651,0.001816213,0.002208852,0.765890472,0.531632055,0.007314197
0.018245414,2.109437521,0.003665782,0.225164542,0.370823003,0.582568661,0.685225211
0.019673773,2.077303726,0.00044412,0.001499109,7.897688494,0.566245663,0.000203002
0.019235381,0.067220231,0.693159745,5.854637363,14.87647374,0.505050656,0.00019611
0.017341282,0.051187824,0.000151647,0.022777182,1.232631703,2.900898866,6.154130009
0.016422003,0.060836843,0.003434261,0.002093309,0.649381632,3.591284631,0.000133608
0.019696426,4.407239651,0.163744479,0.005339493,180.925591,3.606251465,0.000927897
0.017707616,0.498310456,0.000316835,3.292304533,0.28237961,0.727238257,1.065368864
0.015187436,0.795853872,0.000945874,0.003736801,4390.358656,0.59152047,0.00293427
0.016809166,1.409829737,0.014593742,0.004964018,81.12723354,2.352997846,0.001459374
0.015520171,4.424185554,0.000574337,0.079280552,0.118622389,0.814225325,0.000165006
0.016337186,2.845552919,5.634213934,0.00049831,0.14261548,1.090129857,0.385330453
0.015174334,0.517805509,0.014991094,0.000843011,0.268637518,1.740497811,0.058322124
0.016659926,1.041118108,0.000241268,6.468943132,3.292304533,0.891001645,0.049071952
0.01696137,0.296824674,0.000394306,0.000875992,0.199909454,0.754974593,0.001851399
0.01628713,0.706588666,1.086008772,0.001137191,4.323478796,0.895335317,0.001061288
0.019954981,0.903302752,0.00370823,0.169498815,2.468880105,0.942457848,4.306918629
0.016249689,0.195358959,0.001330965,2.478372986,179.5422513,0.793058942,0.000215857
0.015372053,7.807284401,1.682028435,0.042088812,11.02808234,2.148753515,0.014649855
0.017627987,6.037169,0.001094376,0.132586712,65.43849964,2.525379142,5.721369547
0.018566641,2.208852249,0.005298667,3.254617835,931.4652699,0.916051111,0.0131069
0.015636693,0.258523484,0.010057731,9.86658057,0.899842843,1.66036451,0.333042762
0.017616158,3.292304533,0.000109018,0.000924343,3084.371394,0.543932675,0.000202224
0.01520638,1.631172909,0.001916461,4.722442369,2.878502869,1.169182386,0.142069221
0.015538041,1.539926526,0.008081649,0.00045099,8333.61309,0.547716026,0.050601882
0.015490434,0.979114164,0.000872636,0.002878503,6.90504744,0.697130184,0.096790634
0.018940688,0.920802875,0.001261343,0.031441264,0.158185498,3.611254258,1.420692213
0.015579817,0.385330453,0.059224309,0.754223396,22.95267638,1.186325577,2.6556245
0.018570202,0.765890472,0.009828789,0.009172759,1.163679365,0.616212563,0.023307731
0.018275182,0.651878514,0.013936915,1.145952633,0.143163838,2.790454263,5.922430869
0.017024922,0.71751888,9.278974901,0.004424186,53.19040944,0.513878786,0.002645453
0.01922063,1.448215973,0.161870112,0.041447658,351.4255501,1.89934239,7.202777512
0.017797842,3.637754054,0.057876199,0.035686175,0.935046768,3.692249385,2.053525026
0.018713211,1.415250553,0.021919636,0.007065887,294.5551814,1.462564247,0.338194598
0.016040681,4.441196614,0.040349052,0.07120328,529.8667488,0.54129989,4.668385018
0.017002081,0.350079489,0.000352777,9.314652699,1946.106784,0.561166192,0.001734469
0.016252806,0.301416253,0.122791037,0.29342695,12.46904905,1.417648631,2.08529099
0.019417,0.606038201,3.882993528,0.001594043,0.294555181,0.770304095,0.091727594
0.019172768,1.404429684,0.030607886,0.004492623,0.242195833,0.568605516,0.000190912
0.018734758,0.223442955,0.062974781,0.000188727,0.106128819,0.688009314,0.830169296
0.015225349,1.734469497,0.007175189,8.112723354,0.751334503,1.703497701,0.010612882
0.016822067,0.207730373,0.000278078,1.923829884,0.852772788,0.599362198,1.300668632
